id,SalePrice
1461,120129.3164
1462,153008.7854
1463,181999.6679
1464,195952.285
1465,197477.7032
1466,171222.7969
1467,178212.0686
1468,161123.5653
1469,193898.4241
1470,119925.5345
1471,189952.6238
1472,97385.89878
1473,96173.54602
1474,146413.7627
1475,113408.4002
1476,363559.0685
1477,250762.1282
1478,294599.0956
1479,299293.4457
1480,474977.7287
1481,325368.6992
1482,210850.5028
1483,177057.7676
1484,162710.8451
1485,191473.8163
1486,193107.8563
1487,339866.0295
1488,238341.4056
1489,193749.4988
1490,231349.0034
1491,195043.9609
1492,92756.67612
1493,189749.5884
1494,299951.2933
1495,293285.5911
1496,235701.9623
1497,179388.2743
1498,167787.2783
1499,162374.425
1500,152697.896
1501,174507.642
1502,145503.6506
1503,290290.3871
1504,242518.9635
1505,225593.8502
1506,188193.2252
1507,245834.5515
1508,202873.8106
1509,163898.047
1510,143480.4384
1511,148092.673
1512,175334.2616
1513,152363.3936
1514,155109.7808
1515,197374.4685
1516,157898.1108
1517,168347.7479
1518,132466.4968
1519,209170.3722
1520,127540.3085
1521,130083.44
1522,178496.089
1523,110130.4491
1524,125686.4822
1525,120266.1623
1526,113488.3744
1527,107566.0847
1528,137378.3893
1529,149722.522
1530,184338.3119
1531,105988.7519
1532,98505.55209
1533,142816.3827
1534,127215.2366
1535,147673.863
1536,106379.057
1537,64977.60745
1538,147236.9721
1539,191933.6092
1540,94263.48389
1541,138707.1051
1542,139649.1678
1543,189700.6625
1544,85067.98504
1545,115257.9405
1546,135137.948
1547,127884.1706
1548,138708.2787
1549,119838.5241
1550,135618.0232
1551,108885.0311
1552,136390.8991
1553,148289.7648
1554,116891.7876
1555,160376.9013
1556,85485.21858
1557,105780.8119
1558,97580.45126
1559,63552.80318
1560,134335.231
1561,129372.765
1562,130057.278
1563,117918.5238
1564,155071.552
1565,150955.3017
1566,237772.5307
1567,76404.0555
1568,230818.4413
1569,127780.2685
1570,139167.4722
1571,123247.9963
1572,142090.069
1573,236848.787
1574,118411.1606
1575,228294.6709
