fips,county,state,none,d0,d1,d2,d3,d4,valid_start,valid_end
2013,Aleutians East Borough,AK,100,0,0,0,0,0,12/26/17,1/1/18
2013,Aleutians East Borough,AK,100,0,0,0,0,0,12/19/17,12/25/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,12/12/17,12/18/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,12/5/17,12/11/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,11/28/17,12/4/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,11/21/17,11/27/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,11/14/17,11/20/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,11/7/17,11/13/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,10/31/17,11/6/17
2013,Aleutians East Borough,AK,100,0,0,0,0,0,10/24/17,10/30/17
